time_yr,g10_hmi,polar_north_hmi,polar_south_hmi,g10_phi_constrained,polar_north_phi_constrained,polar_south_phi_constrained,g10_phi,polar_north_phi,polar_south_phi
1.700205338809035,0.38336301441713505,0.3413492615598682,1.1602455981115725,0.0709054324208387,-1.524139185015767,1.645107751710176,0.6494549145248281,-0.23546728911652962,1.4029105591718356
1.7741273100616017,0.35757783384490766,0.46380149343054555,1.1253588077175378,0.047332989733173195,-1.3728662973407533,1.6330759570899536,0.6263344212341455,-0.06376987748345855,1.2623072627032002
1.8480492813141685,0.32735941114248085,0.5838859677904116,1.0836250057674566,0.019318676566391517,-1.223257556747452,1.6139568640227027,0.598338918696317,0.10613379120742703,1.117143182420031
1.9219712525667352,0.2927177808558332,0.7001120332399472,1.035444777505139,-0.013128076183636398,-1.0770060655848408,1.58804354141525,0.5655147998699614,0.2728207831600378,0.9685509041311353
1.995893223819302,0.2536882894802649,0.8111326301994948,0.9814530835071148,-0.04997246220302191,-0.9356433843932385,1.5558723680317172,0.5279321042700845,0.43491678037621934,0.8178223320278318
2.0698151950718686,0.21032991596003303,0.9157223799608497,0.922515403169077,-0.09115598516288365,-0.8005617124447094,1.5182198742768578,0.485682655906985,0.5910887539044334,0.6663932815496866
2.1437371663244353,0.16272344331383914,1.0127572870268253,0.8597078522971103,-0.1365982924054703,-0.6730346107015024,1.4760832709478362,0.4388781167261886,0.7400430376741532,0.5158153145087677
2.217659137577002,0.11096953600395001,1.1011985936987359,0.7942856675891975,-0.18619910236534096,-0.554233719787516,1.430649089742506,0.38764800131024657,0.8805283407251494,0.3677197287656914
2.291581108829569,0.05518677034697644,1.1800818397855557,0.7276442929690694,-0.2398401784869204,-0.4452404032566308,1.3832542056962558,0.332137691179736,1.0113427261441348,0.22377797602096242
2.3655030800821355,-0.004490342053923197,1.248511075405007,0.6612768191981456,-0.2973873097095432,-0.3470523464503938,1.3353430291661985,0.27250648004924505,1.1313433195521725,0.08566193563707997
2.439425051334702,-0.06791330487168046,1.3056574714619522,0.5967308775174494,-0.3586922645801859,-0.260585842400076,1.2884240035626204,0.2089256750325713,1.2394574571099273,-0.044993413613737605
